565,565,565,601,602,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
565,565,565,634,635,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
565,601,602,565,565,248,380,314,314,314,314,314,314,314,314,381,248,565,565,565,248,380,314,314,248,565,565,565,565,565,565,565
565,634,635,565,565,347,565,565,565,565,565,565,565,565,565,565,347,601,602,565,347,565,601,602,347,565,565,565,565,565,565,565
565,565,565,565,565,347,598,599,599,599,599,599,599,599,599,600,347,634,635,565,347,565,634,635,347,565,565,565,565,565,565,565
565,565,565,565,565,347,631,632,632,632,632,632,632,632,632,633,347,565,565,565,347,565,565,565,347,598,599,600,565,628,565,565
565,565,565,565,565,347,631,632,632,632,632,632,632,632,632,633,281,565,565,565,347,565,565,565,347,631,632,633,565,659,565,565
624,314,314,314,381,347,631,632,632,632,632,632,632,632,632,633,380,314,314,381,281,565,565,565,347,631,632,633,565,347,565,565
565,565,565,565,565,347,631,632,632,632,632,632,632,632,632,633,248,565,565,565,565,565,565,565,347,631,632,633,565,347,565,565
565,565,565,565,565,347,631,632,632,632,632,632,632,632,632,633,347,565,565,601,602,565,565,565,347,631,632,633,565,347,565,565
565,565,565,565,565,347,631,632,632,632,632,632,632,632,632,633,347,565,565,634,635,565,565,565,347,631,632,633,565,347,565,565
565,565,565,565,565,347,664,665,665,665,665,665,665,665,665,666,347,565,565,565,565,565,565,565,347,664,665,666,565,347,565,565
565,565,601,602,565,281,380,314,314,314,314,314,314,314,314,381,281,565,565,565,565,565,565,565,347,565,565,565,565,347,565,565
565,565,634,635,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,601,602,565,565,281,380,314,314,314,281,565,565
565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,634,635,565,565,565,565,565,565,565,565,565,565
565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
