0,1,34,33,34,0,1,34,0,1,0,0,1,34,33,0,1,1,1,1
30,17,0,33,34,1,1,0,1,1,0,1,34,0,0,0,1,1,17,32
0,17,17,34,0,1,34,0,1,0,0,0,0,1,33,0,1,17,17,1
0,0,17,17,0,1,0,0,1,33,33,0,1,1,33,0,17,17,0,1
0,33,34,17,17,0,33,0,0,1,34,0,1,0,33,17,17,1,33,0
0,33,34,0,17,17,33,33,33,0,0,1,0,33,17,17,1,34,34,0
33,34,0,33,33,17,17,34,1,33,33,34,33,17,17,0,1,34,34,0
33,34,0,33,33,34,17,17,1,0,0,33,17,17,0,1,34,34,34,0
33,0,33,0,33,34,33,17,17,1,33,17,17,0,0,1,34,34,33,0
0,33,34,33,34,0,0,33,17,17,17,17,0,1,0,1,34,1,0,1
33,34,1,33,34,0,1,33,33,17,17,0,1,0,1,34,34,34,1,1
33,34,1,33,34,1,34,0,33,17,17,1,1,0,1,33,34,34,34,34
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
34,0,1,33,34,0,0,33,34,0,1,33,34,1,1,1,34,33,34,0
34,1,34,33,34,0,33,34,0,1,34,0,33,34,34,34,34,33,34,1
